Title,Link
"Zezev v Governor of Brixton Prison (Yarimaka v Governor of Brixton Prison) [2002] EWHC 589 (Admin); [2002] 2 Cr App R 515, DC",No links available
"Ellis v Director of Public Prosecutions [2001] EWHC Admin 362, QBD",No links available
"Director of Public Prosecutions v Bignell [1998] 1 Cr App R 1, DC",No links available
"Lonestar Communications Corpn LLC v Kaye [2023] EWHC 421 (Comm), Ch D (Foxton J)",http://www.bailii.org/ew/cases/EWHC/Comm/2023/421.html
"R v Bhoyroo [2023] EWCA Crim 1625; [2024] 1 WLR 2321; [2024] 1 Cr App R 16; [2024] WLR(D) 50, Ct-MAC (Holroyde LJ, Cheema-Grubb, Swift JJ)",http://www.bailii.org/ew/cases/EWCA/Crim/2023/1625.html
"R v Bhoyroo [2023] EWCA Crim 1625; [2024] 1 WLR 2321; [2024] 1 Cr App R 16; [2024] WLR(D) 50, Ct-MAC (Holroyde LJ, Cheema-Grubb, Swift JJ)",http://www.bailii.org/ew/cases/EWCA/Crim/2023/1625.html
"R v Bhoyroo [2023] EWCA Crim 1625; [2024] 1 WLR 2321; [2024] 1 Cr App R 16; [2024] WLR(D) 50, Ct-MAC (Holroyde LJ, Cheema-Grubb, Swift JJ)",http://www.bailii.org/ew/cases/EWCA/Crim/2023/1625.html
"R v Bhoyroo [2023] EWCA Crim 1625; [2024] 1 WLR 2321; [2024] 1 Cr App R 16; [2024] WLR(D) 50, Ct-MAC (Holroyde LJ, Cheema-Grubb, Swift JJ)",http://www.bailii.org/ew/cases/EWHC/Admin/2024/193.html
"Bolton School v Evans [2006] IRLR 500, EAT",http://www.bailii.org/uk/cases/UKEAT/2006/0648_05_0702.html
"King v The United States of America [2006] EWHC 3033 (Admin), QBD",http://www.bailii.org/ew/cases/EWHC/Admin/2006/3033.html
"Twentieth Century Fox Film Corpn v British Telecommunications plc [2011] EWHC 1981 (Ch); [2012] Bus LR 1461; [2012] 1 All ER 806; [2011] RPC 28, Ch D (Arnold J)",http://www.bailii.org/ew/cases/EWHC/Ch/2011/1981.html
"Twentieth Century Fox Film Corpn v British Telecommunications plc [2011] EWHC 1981 (Ch); [2012] Bus LR 1461; [2012] 1 All ER 806; [2011] RPC 28, Ch D (Arnold J)",http://www.bailii.org/ew/cases/EWCA/Civ/2001/1142.html
"Twentieth Century Fox Film Corpn v British Telecommunications plc [2011] EWHC 1981 (Ch); [2012] Bus LR 1461; [2012] 1 All ER 806; [2011] RPC 28, Ch D (Arnold J)",http://www.bailii.org/ew/cases/EWHC/Ch/2011/1981.html
"Twentieth Century Fox Film Corpn v British Telecommunications plc [2011] EWHC 1981 (Ch); [2012] Bus LR 1461; [2012] 1 All ER 806; [2011] RPC 28, Ch D (Arnold J)",http://www.bailii.org/ew/cases/EWHC/Ch/2011/1981.html
"Abbey v Gilligan [2012] EWHC 3217 (QB); [2012] CN 134, QBD (Tugendhat J)",http://www.bailii.org/ew/cases/EWHC/QB/2012/3217.html
"McKinnon (R on the application of) v Secretary of State for the Home Department & Anor [2009] EWHC 2021 (Admin), QBD",http://www.bailii.org/ew/cases/EWHC/Admin/2009/2021.html
"R v Stanford [2006] EWCA Crim 258; [2006] 1 WLR 1554; [2006] 2 Cr App R 91, CA",http://www.bailii.org/ew/cases/EWCA/Crim/2006/258.html
"R v Stanford [2006] EWCA Crim 258; [2006] 1 WLR 1554; [2006] 2 Cr App R 91, CA",http://www.bailii.org/ew/cases/EWCA/Crim/2006/258.html
"Twentieth Century Fox Film Corpn v Newzbin Ltd [2010] EWHC 608 (Ch); [2011] Bus LR D49; [2010] FSR 512, Ch D (Kitchin J)",http://www.bailii.org/ew/cases/EWHC/Ch/2010/608.html
"Twentieth Century Fox Film Corpn v Newzbin Ltd [2010] EWHC 608 (Ch); [2011] Bus LR D49; [2010] FSR 512, Ch D (Kitchin J)",http://www.bailii.org/ew/cases/EWHC/Ch/2010/608.html
"Brake v Guy [2021] EWHC 671 (Ch), Ch D (Judge Paul Matthews sitting as a Judge of the High Court)",http://www.bailii.org/ew/cases/EWHC/Ch/2021/671.html
"R v Brown (Gregory) [1994] QB 547; [1994] 2 WLR 673; 99 Cr App R 69, CA",No links available
"Regina v Adam Lewis Christopher Mudd [2017] EWCA Crim 1395, CA (Lord Justice Gross, Mr Justice Spencer, His Honour Judge Marson)",No links available
"Ellis v Director of Public Prosecutions [2002] EWHC 135 (Admin), QBD",No links available
"Shepherd v Fox Williams LLP & others [2014] EWHC 1224 (QB); [2014] CN 803, QBD (Simler J)",http://www.bailii.org/ew/cases/EWHC/QB/2014/1224.html
"Brett v Solicitors Regulation Authority [2014] EWHC 2974 (Admin); [2014] CN 1558, DC",http://www.bailii.org/ew/cases/EWHC/Admin/2014/2974.html
"R v Brown (Charles Morgan) [2014] EWCA Crim 695, CA",No links available
"Bristol GroundSchool Ltd v Intelligent Data Capture Ltd [2014] EWHC 2145 (Ch), Ch D",http://www.bailii.org/ew/cases/EWHC/Ch/2014/2145.html
"Burwell v Director of Public Prosecutions [2009] EWHC 1069 (Admin), QBD",http://www.bailii.org/ew/cases/EWHC/Admin/2009/1069.html
"Azam v Epping Forest District Council [2009] EWHC 3177 (Admin), DC",http://www.bailii.org/ew/cases/EWHC/Admin/2009/3177.html
"R v Manning [1999] QB 980; [1999] 2 WLR 430; [1998] 4 All ER 876; [1998] 2 Cr App R 461, CA",http://www.bailii.org/ew/cases/EWCA/Crim/1998/2073.html
"R v Manning [1999] QB 980; [1999] 2 WLR 430; [1998] 4 All ER 876; [1998] 2 Cr App R 461, CA",http://www.bailii.org/ew/cases/EWCA/Crim/1998/2073.html
"R v Manning [1999] QB 980; [1999] 2 WLR 430; [1998] 4 All ER 876; [1998] 2 Cr App R 461, CA",http://www.bailii.org/ew/cases/EWCA/Crim/1998/2073.html
"R v Manning [1999] QB 980; [1999] 2 WLR 430; [1998] 4 All ER 876; [1998] 2 Cr App R 461, CA",http://www.bailii.org/ew/cases/EWCA/Crim/1998/2073.html
"R v Coulson (Andrew) [2013] EWCA Crim 1026, CA",http://www.bailii.org/ew/cases/EWCA/Crim/2013/1026.html
"Regina v Emmanuel Akala [2021] EWCA Crim 1994, CA (Lord Justice Warby, Mrs Justice McGowan DBE THE RECORDER OF BRISTOL, HIS HONOUR JUDGE Blair QC Sitting as a Judge of the CACD)",No links available
"Imerman v Imerman [2009] EWHC 3486 (Fam); [2010] 2 FLR 752, Fam D (Moylan J)",http://www.bailii.org/ew/cases/EWHC/Fam/2009/3486.html
"Imerman v Imerman [2009] EWHC 3486 (Fam); [2010] 2 FLR 752, Fam D (Moylan J)",http://www.bailii.org/ew/cases/EWHC/Fam/2009/3486.html
"Viagogo Ltd v Myles [2012] EWHC 433 (Ch), Ch D",http://www.bailii.org/ew/cases/EWHC/Ch/2012/433.html
"Bellencs v Hungary [2023] EWHC 2235 (Admin), KBD (Heather Williams J)",http://www.bailii.org/ew/cases/EWHC/Admin/2023/2235.html
"R v Coles-Day (Stephen) [2015] EWCA Crim 2444, CA",No links available
"L v L [2007] EWHC 140 (QB); [2007] 2 FLR 171, QBD (Tugendhat J)",http://www.bailii.org/ew/cases/EWHC/QB/2007/140.html
"Filmlab Systems International Ltd v Pennington [1995] 1 WLR 673; [1994] 4 All ER 673, Ch D",No links available
"Churngold Recycling Ltd v Environment Agency [2014] EWCA Civ 909; [2014] WLR (D) 295, CA",http://www.bailii.org/ew/cases/EWCA/Civ/2014/909.html
